Row/Case,Status,VARY   1,VARY   2,FLOWEA,FLOWWA,FLOWFUR,XFIN1,XFIN2,XWIN1,XWIN2,XEAIN1,XEAIN2
1,OK,1,20,79,20,1,0.0117750429,0.00233381325,0.0323816994,0.923922336,0.955843258,0.0737438506
2,OK,1,22,77,22,1,0.0120302552,0.00238300002,0.0323846037,0.923885132,0.955585141,0.0737318685
3,OK,1,24,75,24,1,0.0122969003,0.0024343293,0.0323876274,0.923846322,0.955315472,0.0737193488
4,OK,1,26,73,26,1,0.0125757726,0.00248794586,0.03239078,0.9238058,0.955033447,0.0737062543
5,OK,1,28,71,28,1,0.0128677426,0.002544008,0.0323940699,0.923763448,0.954738188,0.0736925439
6,OK,1,30,69,30,1,0.0131737664,0.00260268915,0.0323975064,0.923719138,0.954428727,0.0736781726
7,OK,1,32,67,32,1,0.0134948967,0.00266417977,0.0324010997,0.923672729,0.954104004,0.0736630909
8,OK,1,34,65,34,1,0.0138322953,0.00272868948,0.0324048606,0.923624067,0.953762844,0.0736472439
9,OK,1,36,63,36,1,0.0141872478,0.0027964496,0.0324088013,0.923572979,0.953403951,0.0736305712
10,OK,1,38,61,38,1,0.0145611807,0.00286771608,0.0324129353,0.923519278,0.953025884,0.0736130055
11,OK,1,40,59,40,1,0.0149556816,0.00294277286,0.0324172772,0.923462755,0.952627041,0.073594472
12,OK,1,42,57,42,1,0.0153725231,0.00302193593,0.0324218432,0.923403177,0.952205634,0.0735748873
13,OK,1,44,55,44,1,0.0158136905,0.00310555804,0.0324266514,0.923340284,0.951759658,0.0735541577
14,OK,1,46,53,46,1,0.0162814153,0.00319403427,0.0324317218,0.923273788,0.951286863,0.0735321781
15,OK,1,48,51,48,1,0.0167782156,0.00328780874,0.0324370767,0.923203362,0.950784708,0.0735088296
16,OK,1,50,49,50,1,0.017306944,0.00338738257,0.032442741,0.92312864,0.950250315,0.0734839779
17,OK,1.5,20,78.5,20,1.5,0.0176748828,0.00345653768,0.0324466614,0.92307678,0.949878456,0.0734666821
18,OK,1.5,22,76.5,22,1.5,0.0180602244,0.00352884301,0.032450749,0.92302259,0.949489027,0.0734485667
19,OK,1.5,24,74.5,24,1.5,0.0184630159,0.00360429111,0.0324550012,0.922966079,0.949081983,0.0734296294
20,OK,1.5,26,72.5,26,1.5,0.0188844886,0.00368309505,0.0324594285,0.922907093,0.948656083,0.0734098121
21,OK,1.5,28,70.5,28,1.5,0.0193259942,0.00376548795,0.0324640418,0.922845461,0.948209964,0.0733890509
22,OK,1.5,30,68.5,30,1.5,0.01978902,0.00385172542,0.0324688533,0.922780999,0.947742127,0.0733672756
23,OK,1.5,32,66.5,32,1.5,0.020275207,0.00394208841,0.032473876,0.922713503,0.947250917,0.0733444089
24,OK,1.5,34,64.5,34,1.5,0.0207863696,0.00403688645,0.0324791242,0.922642749,0.946734506,0.0733203649
25,OK,1.5,36,62.5,36,1.5,0.0213245206,0.0041364615,0.0324846135,0.92256849,0.946190866,0.0732950486
26,OK,1.5,38,60.5,38,1.5,0.0218918989,0.00424119234,0.0324903609,0.922490453,0.94561774,0.0732683543
