Row/Case,Status,VARY   1,VARY   2,FLOWEA,FLOWWA,FLOWFUR,XFIN1,XFIN2,XWIN1,XWIN2,XEAIN1,XEAIN2
1,OK,1,20,77.25,20,1,0.0116614184,0.00411995429,0.029108257,0.804815277,0.959230324,0.11162926
2,OK,1,22,75.25,22,1,0.0119136704,0.00401457186,0.0294480732,0.815993373,0.958638256,0.107756929
3,OK,1,24,73.25,24,1,0.0121770632,0.00394048008,0.0297253292,0.825267144,0.958097607,0.104583824
4,OK,1,26,71.25,26,1,0.0124523598,0.00389079388,0.0299557688,0.833075626,0.957591871,0.101938385
5,OK,1,28,69.25,28,1,0.0127404072,0.00386070883,0.0301503614,0.839734221,0.957109231,0.0997000964
6,OK,1,30,67.25,30,1,0.01304214,0.00384681168,0.0303169554,0.845474745,0.956640904,0.097782048
7,OK,1,32,65.25,32,1,0.0133585886,0.00384664618,0.030461301,0.850471063,0.95618011,0.0961201059
8,OK,1,34,63.25,34,1,0.0136908895,0.00385843286,0.0305877007,0.854855941,0.955721409,0.0946659732
9,OK,1,36,61.25,36,1,0.0140402997,0.00388088411,0.030699435,0.858732392,0.955260265,0.0933826194
10,OK,1,38,59.25,38,1,0.0144082122,0.00391307988,0.0307990474,0.862181487,0.95479274,0.0922411931
11,OK,1,40,57.25,40,1,0.0147961761,0.00395438303,0.0308885404,0.865267843,0.954315283,0.091218889
12,OK,1,42,55.25,42,1,0.0152059191,0.00400438116,0.0309695132,0.868043554,0.953824567,0.0902974441
13,OK,1,44,53.25,44,1,0.0156393751,0.00406284684,0.0310432587,0.870551037,0.953317366,0.0894620579
14,OK,1,46,51.25,46,1,0.0160987162,0.0041297108,0.031110835,0.872825148,0.952790448,0.088700603
15,OK,1,48,49.25,48,1,0.0165863919,0.00420504486,0.0311731183,0.874894758,0.952240489,0.0880030399
16,OK,1,50,47.25,50,1,0.0171051757,0.00428905236,0.0312308415,0.876783945,0.951663982,0.0873609768
17,OK,1.5,20,76.75,20,1.5,0.0175180511,0.00610770033,0.0291589272,0.803311827,0.953323021,0.1112806
18,OK,1.5,22,74.75,22,1.5,0.0178995614,0.00595080611,0.0295010084,0.814525197,0.952599429,0.107408534
19,OK,1.5,24,72.75,24,1.5,0.0182981687,0.00584028549,0.0297803712,0.823824534,0.951921459,0.104233968
20,OK,1.5,26,70.75,26,1.5,0.0187150586,0.00576593799,0.03001281,0.831650729,0.951272131,0.101585748
21,OK,1.5,28,68.75,28,1.5,0.0191515518,0.00572064338,0.0302093306,0.838320559,0.950639117,0.099343608
22,OK,1.5,30,66.75,30,1.5,0.0196091095,0.00569934219,0.0303778088,0.844066861,0.950013081,0.0974207916
23,OK,1.5,32,64.75,32,1.5,0.0200893472,0.00569839338,0.0305240162,0.849064262,0.949386636,0.0957532603
24,OK,1.5,34,62.75,34,1.5,0.0205940523,0.0057151595,0.0306522718,0.853446093,0.948753675,0.094292773
25,OK,1.5,36,60.75,36,1.5,0.0211252068,0.00574773307,0.0307658707,0.857315784,0.948108922,0.093002328
26,OK,1.5,38,58.75,38,1.5,0.0216850146,0.00579475257,0.0308673679,0.860754713,0.947447617,0.0918530817
27,OK,1.5,40,56.75,40,1.5,0.0222759337,0.00585527725,0.0309587768,0.863827711,0.946765289,0.0908222206
